,City,Lat,Lng,Max Temp,Min Temp,Current Description,Humidity,Cloudiness,Wind Speed,Rain (inches),Snow (inches),Country
123,Avarua,-21.21,-159.78,73.4,73.4,scattered clouds,60,31,12.75,0.0,0,CK
124,Saskylakh,71.92,114.08,71.87,71.87,overcast clouds,51,89,8.41,0.0,0,RU
125,Margate,51.38,1.39,62.01,60.01,overcast clouds,90,96,6.89,0.0,0,GB
126,Eha Amufu,6.66,7.76,71.51,71.51,light rain,98,100,3.96,0.66,0,NG
127,Rapid Valley,44.06,-103.15,73.4,71.01,clear sky,37,1,11.41,0.0,0,US
128,Mareeba,-17.0,145.43,75.2,64.0,scattered clouds,50,46,10.29,0.0,0,AU
129,Malazgirt,39.14,42.54,60.42,60.42,clear sky,65,0,3.11,0.0,0,TR
130,Olinda,-8.01,-34.86,75.2,75.2,scattered clouds,83,40,4.7,0.0,0,BR
131,Cap Malheureux,-19.98,57.61,71.01,71.01,clear sky,85,3,3.0,0.0,0,MU
132,Kahului,20.89,-156.47,89.6,75.99,scattered clouds,46,40,23.04,0.0,0,US
133,Uglich,57.53,38.33,57.45,57.45,light rain,97,100,14.9,0.91,0,RU
134,Qaanaaq,77.48,-69.36,41.61,41.61,overcast clouds,81,100,6.96,0.0,0,GL
135,Port Keats,-14.25,129.55,73.65,73.65,clear sky,33,0,9.98,0.0,0,AU
136,Dikson,73.51,80.55,40.53,40.53,overcast clouds,91,97,12.28,0.0,0,RU
137,Beloha,-25.17,45.05,60.22,60.22,clear sky,95,2,4.68,0.0,0,MG
138,Chatan,26.31,127.77,87.8,87.01,clear sky,79,1,17.22,0.0,0,JP
139,Mackay,-21.15,149.2,64.4,64.4,few clouds,42,17,14.99,0.0,0,AU
140,Longyearbyen,78.22,15.64,46.4,46.4,broken clouds,70,75,5.82,0.0,0,SJ
141,Olds,51.78,-114.1,69.8,68.0,few clouds,37,20,8.05,0.0,0,CA
142,Ponta Do Sol,32.67,-17.1,73.0,69.01,clear sky,54,0,5.95,0.0,0,PT
143,Ngaoundere,7.32,13.58,61.07,61.07,overcast clouds,98,100,2.8,0.0,0,CM
144,Vila Franca Do Campo,37.72,-25.43,66.2,66.2,few clouds,88,20,8.05,0.0,0,PT
145,Geraldton,-28.77,114.6,59.0,59.0,overcast clouds,82,90,13.87,0.0,0,AU
146,Bredasdorp,-34.53,20.04,44.6,44.6,clear sky,81,0,5.82,0.0,0,ZA
147,Hithadhoo,-0.6,73.08,83.55,83.55,broken clouds,70,65,1.36,0.0,0,MV
148,Moranbah,-22.0,148.05,60.3,60.3,clear sky,38,0,8.81,0.0,0,AU
149,Chapleau,47.84,-83.4,68.0,68.0,shower rain,68,90,8.05,0.0,0,CA
150,Okmulgee,35.62,-95.96,89.6,89.6,clear sky,62,1,5.82,0.0,0,US
151,Sioux Lookout,50.1,-91.92,73.4,73.4,few clouds,43,20,9.17,0.0,0,CA
152,Antofagasta,-23.65,-70.4,53.6,53.6,few clouds,87,20,4.7,0.0,0,CL
153,Plettenberg Bay,-34.05,23.37,46.8,46.8,clear sky,67,0,7.05,0.0,0,ZA
154,Sur,22.57,59.53,85.51,85.51,clear sky,63,0,4.88,0.0,0,OM
155,Sisimiut,66.94,-53.67,47.46,47.46,clear sky,74,0,5.08,0.0,0,GL
156,Eyl,7.98,49.82,81.46,81.46,overcast clouds,60,100,26.17,0.0,0,SO
157,Mehamn,71.04,27.85,45.9,45.9,overcast clouds,80,100,3.53,0.0,0,NO
158,Bathsheba,13.22,-59.52,82.4,82.4,few clouds,74,20,12.75,0.0,0,BB
159,Isangel,-19.55,169.27,78.8,78.8,broken clouds,78,75,5.82,0.0,0,VU
160,Funadhoo,6.15,73.27,83.7,83.7,overcast clouds,75,100,11.21,0.0,0,MV
161,Hilo,19.73,-155.09,82.4,70.0,overcast clouds,65,90,9.17,0.0,0,US
162,Pemangkat,1.17,108.97,76.6,76.6,overcast clouds,86,100,7.23,0.0,0,ID
163,Norsup,-16.07,167.38,82.4,82.4,scattered clouds,69,40,6.93,0.0,0,VU
164,Mahanoro,-19.9,48.8,64.33,64.33,clear sky,83,2,5.86,0.0,0,MG
165,Comodoro Rivadavia,-45.87,-67.5,33.8,33.8,few clouds,80,16,3.36,0.0,0,AR
166,Jieshi,22.81,115.83,86.27,86.27,light rain,76,45,12.12,0.71,0,CN
167,Sanandaj,35.31,46.99,66.18,66.18,clear sky,35,0,3.36,0.0,0,IR
168,Awbari,26.59,12.78,76.8,76.8,clear sky,24,0,7.11,0.0,0,LY
169,Liwale,-9.77,37.93,61.2,61.2,broken clouds,93,78,0.69,0.0,0,TZ
170,Hualmay,-11.1,-77.61,61.32,61.32,scattered clouds,85,49,8.68,0.0,0,PE
171,Pekan,3.48,103.4,80.6,77.0,few clouds,88,20,4.7,0.0,0,MY
172,Cabo San Lucas,22.89,-109.91,95.0,84.2,few clouds,66,20,14.99,0.0,0,MX
173,Gumdag,39.21,54.59,81.01,81.01,broken clouds,51,64,13.18,0.0,0,TM
174,Hambantota,6.12,81.12,77.0,77.0,broken clouds,100,75,6.93,0.0,0,LK
175,Baykit,61.67,96.37,53.44,53.44,overcast clouds,83,98,9.95,0.0,0,RU
176,Kirakira,-10.45,161.92,83.25,83.25,light rain,76,87,9.01,0.11,0,SB
177,Makaha,21.47,-158.22,87.8,80.6,broken clouds,61,75,9.17,0.0,0,US
178,Muros,42.78,-9.06,64.0,64.0,clear sky,77,8,1.99,0.0,0,ES
179,Walvis Bay,-22.96,14.51,57.2,57.2,clear sky,58,0,5.82,0.0,0,NA
180,Olafsvik,64.89,-23.71,51.62,51.62,overcast clouds,86,100,3.8,0.0,0,IS
181,San Policarpo,12.18,125.51,85.55,85.55,scattered clouds,70,30,9.22,0.0,0,PH
182,Bayangol,50.7,103.47,65.19,65.19,moderate rain,84,13,2.04,1.49,0,RU
183,Qovlar,40.95,45.73,73.4,73.4,scattered clouds,60,40,6.93,0.0,0,AZ
184,Agaro,7.85,36.65,57.49,57.49,overcast clouds,88,89,1.81,0.0,0,ET
185,Pevek,69.7,170.31,38.97,38.97,clear sky,82,7,3.02,0.0,0,RU
186,Hofn,64.25,-15.21,51.3,51.3,overcast clouds,89,100,7.0,0.0,0,IS
187,Techiman,7.59,-1.94,68.34,68.34,scattered clouds,97,47,7.85,0.0,0,GH
188,Oulainen,64.27,24.8,46.0,46.0,few clouds,95,13,2.84,0.0,0,FI
189,Norman Wells,65.28,-126.83,75.2,75.2,shower rain,36,40,4.7,0.0,0,CA
190,Port-De-Bouc,43.4,4.98,69.8,68.0,clear sky,49,0,5.82,0.0,0,FR
191,Haines Junction,60.75,-137.51,51.46,51.46,overcast clouds,76,100,0.74,0.0,0,CA
192,Vardo,70.37,31.11,45.73,45.73,broken clouds,82,63,5.88,0.0,0,NO
193,Leh,34.17,77.58,57.2,57.2,clear sky,38,1,5.7,0.0,0,IN
194,Magdalena,14.2,121.43,87.64,87.64,scattered clouds,65,42,0.96,0.0,0,PH
195,Katsuura,35.13,140.3,73.4,70.0,broken clouds,88,75,9.17,0.0,0,JP
196,Siilinjarvi,63.08,27.67,50.0,50.0,clear sky,100,0,2.24,0.0,0,FI
197,Moindou,-21.69,165.68,77.0,77.0,few clouds,61,20,8.05,0.0,0,NC
198,Acari,-15.43,-74.62,63.12,63.12,scattered clouds,62,27,2.44,0.0,0,PE
199,Honiara,-9.43,159.95,89.6,89.6,scattered clouds,62,40,5.82,0.0,0,SB
200,Garden City,42.33,-83.33,78.8,75.99,broken clouds,57,75,4.7,0.0,0,US
201,Shelburne,44.08,-80.2,69.8,68.0,clear sky,77,1,2.08,0.0,0,CA
202,Samarai,-10.62,150.67,75.79,75.79,moderate rain,92,100,13.38,3.18,0,PG
203,Inhambane,-23.86,35.38,67.66,67.66,light rain,75,87,21.43,0.23,0,MZ
204,Bojnurd,37.47,57.33,69.8,69.8,broken clouds,73,75,4.7,0.0,0,IR
205,Kaitangata,-46.28,169.85,46.0,46.0,scattered clouds,90,39,1.99,0.0,0,NZ
206,Durban,-29.86,31.03,57.0,41.0,clear sky,75,0,1.12,0.0,0,ZA
207,Diffa,13.32,12.61,81.46,81.46,overcast clouds,60,100,14.81,0.0,0,NE
208,Gizo,-8.1,156.84,84.4,84.4,clear sky,67,0,2.1,0.0,0,SB
209,Bodaybo,57.85,114.19,80.38,80.38,light rain,58,0,0.51,0.47,0,RU
210,Prince George,53.92,-122.75,64.4,59.0,moderate rain,59,90,5.82,1.02,0,CA
211,Ornskoldsvik,63.29,18.72,44.6,44.6,overcast clouds,93,100,3.36,0.0,0,SE
212,Shenkursk,62.11,42.9,54.34,54.34,overcast clouds,90,100,3.69,0.0,0,RU
213,Havoysund,71.0,24.66,44.6,44.6,broken clouds,87,54,6.93,0.0,0,NO
214,College,64.86,-147.8,71.6,68.0,broken clouds,43,75,4.7,0.0,0,US
215,Jumla,29.27,82.18,62.92,62.92,light rain,72,100,1.83,0.17,0,NP
216,Vanavara,60.34,102.28,66.18,66.18,light rain,77,67,6.4,0.47,0,RU
217,Bilibino,68.05,166.44,64.85,64.85,broken clouds,50,82,3.71,0.0,0,RU
218,Nushki,29.55,66.02,81.72,81.72,clear sky,40,0,7.05,0.0,0,PK
219,Omsukchan,62.53,155.8,57.16,57.16,light rain,87,100,4.5,0.67,0,RU
220,Lebyazhye,55.27,66.49,69.85,69.85,few clouds,80,19,6.82,0.0,0,RU
221,Grand Gaube,-20.01,57.66,71.01,71.01,clear sky,85,0,3.0,0.0,0,MU
222,Brusturoasa,46.52,26.2,50.0,50.0,clear sky,86,4,2.42,0.0,0,RO
223,Mingguang,32.78,117.96,69.03,69.03,overcast clouds,93,100,6.67,0.0,0,CN
